tax_lot_id,dim_time_id,dim_security_id,side,cost_basis,open_date_time,quantity,holding_period_date
00066ac6-415e-4061-9a12-9d56c077beb2,20240630,d27d4c85-f94b-47b8-9b42-c20d6e0ab427,Long,0.895,1/1/2024,28,1/1/2024
0018f4bf-972b-43e1-a83d-28fe1d3773d8,20240630,cdb622c5-46f6-4609-9fb3-50562697b869,Long,10.31,10/5/2023,850,10/5/2023
00266278-acb0-4f54-8cb3-4d39c84b3b65,20240630,d27d4c85-f94b-47b8-9b42-c20d6e0ab427,Long,0.6506,3/14/2024,10000,3/14/2024
002b0785-ea3f-4e36-91f0-451711b0d975,20240630,d27d4c85-f94b-47b8-9b42-c20d6e0ab427,Long,1.327692308,8/28/2023,104,8/28/2023
002f18f3-a16a-4a64-ba2e-503ee997c4af,20240630,0f3374b6-54e6-46d8-811f-4f5598ddf924,Long,2.24,4/27/2023,100,4/27/2023
00365bc8-b57f-481e-850c-a88a8fee0e2f,20240630,b86e91d2-e19d-443c-ac72-f16ac3db7472,Long,6.565,10/26/2022,99,10/26/2022
004be8f9-e160-4eb5-b832-85c239df2e25,20240630,6aa47f62-9379-4094-9c44-82098bc7c901,Long,1.55,6/13/2024,800,6/13/2024
004e4158-1556-42e2-8d87-bf2b2d5933a0,20240630,c8515363-aeed-4fed-9936-54e40972c790,Long,13.76,11/10/2021,9,11/10/2021
004f4a11-2cfe-4115-9641-3b28fe2bbc14,20240630,d27d4c85-f94b-47b8-9b42-c20d6e0ab427,Long,0.44,5/20/2024,500,5/20/2024
005559e9-58d1-48b8-b814-19922ef24641,20240630,d27d4c85-f94b-47b8-9b42-c20d6e0ab427,Long,8.88,5/21/2021,1,5/21/2021
005bda1f-5973-453d-b37b-0827bbd930d1,20240630,d27d4c85-f94b-47b8-9b42-c20d6e0ab427,Long,0.43,5/17/2024,18,5/17/2024
006dcc33-d8f5-441f-8eb9-40c2b6798aed,20240630,0f3374b6-54e6-46d8-811f-4f5598ddf924,Long,1.985,5/9/2024,21,5/9/2024
007132dd-b6eb-4c45-a270-53268a20f088,20240630,56201eda-dcd2-448e-90ff-aca59bc41a31,Long,80.32,11/16/2023,100,11/16/2023
0073f5c4-982a-427e-a405-445a736272c2,20240630,0f3374b6-54e6-46d8-811f-4f5598ddf924,Long,2.4129,3/30/2023,100,3/30/2023
0075a453-5104-49d4-bd35-1d376bac1319,20240630,c8515363-aeed-4fed-9936-54e40972c790,Long,19.36,2/15/2022,100,2/15/2022
007d5678-bca0-4354-86db-aacc87c4ccf6,20240630,56201eda-dcd2-448e-90ff-aca59bc41a31,Long,84.59,3/9/2023,60,3/9/2023
0083cf81-cdd1-4232-949a-eaf80a11815b,20240630,6aa47f62-9379-4094-9c44-82098bc7c901,Long,1.43,6/20/2024,1800,6/20/2024
0089e463-9153-4b3e-9d2d-6119be516abf,20240630,c5898d12-c93a-4a4d-8811-e3ba75582ffe,Long,13.955,6/10/2024,500,6/10/2024
008a3619-5549-4fef-90c3-2a7e3dea4e1c,20240630,0f3374b6-54e6-46d8-811f-4f5598ddf924,Long,2.655,11/2/2022,100,11/2/2022
00952dc8-12f8-407c-8475-7f5ed40d9500,20240630,5d2015c1-7e7b-4143-a63a-1581d4e29d51,Long,1.455,5/31/2024,100,5/31/2024
009ae815-697d-41ba-a89a-a035941b8f52,20240630,0f3374b6-54e6-46d8-811f-4f5598ddf924,Long,2.595,11/2/2022,100,11/2/2022
00a3d43c-d9bd-4bd6-acd1-4e8db9c8617e,20240630,b6c2f2f3-7653-4e44-b22e-8b87513fb0e9,Long,3.175876345,3/20/2024,8000,3/20/2024
